age,experience,identifier,type,timeTaken
21,advanced,send-message,kebabCase,2060
21,advanced,user-login-details,kebabCase,3992
21,advanced,calculate-total,kebabCase,2824
21,advanced,noPainNoGain,camelCase,5827
21,advanced,sendMessage,camelCase,3915
21,advanced,move-south,kebabCase,2461
21,advanced,no-pain-no-gain,kebabCase,3105
21,advanced,asSoonAsPossible,camelCase,5246
21,advanced,refresh-page,kebabCase,2691
21,advanced,refreshPage,camelCase,4252
21,advanced,startProcess,camelCase,3850
21,advanced,moveSouth,camelCase,3629
21,advanced,start-process,kebabCase,3513
21,advanced,as-soon-as-possible,kebabCase,3047
21,advanced,userLoginDetails,camelCase,4649
21,advanced,calculateTotal,camelCase,3997
21,advanced,apple-care,kebabCase,4483
21,advanced,ciao-a-tutti,kebabCase,2522
21,advanced,appleCare,camelCase,4023
21,advanced,ciaoATutti,camelCase,4019
22,intermediate,start-process,kebabCase,3293
22,intermediate,calculate-total,kebabCase,3589
22,intermediate,moveSouth,camelCase,3056
22,intermediate,no-pain-no-gain,kebabCase,3277
22,intermediate,move-south,kebabCase,3575
22,intermediate,noPainNoGain,camelCase,4508
22,intermediate,appleCare,camelCase,11171
22,intermediate,ciao-a-tutti,kebabCase,6580
22,intermediate,calculateTotal,camelCase,4801
22,intermediate,apple-care,kebabCase,4019
22,intermediate,ciaoATutti,camelCase,4019
22,intermediate,user-login-details,kebabCase,4447
22,intermediate,sendMessage,camelCase,4608
22,intermediate,refresh-page,kebabCase,2438
22,intermediate,startProcess,camelCase,3444
22,intermediate,userLoginDetails,camelCase,4129
22,intermediate,refreshPage,camelCase,7666
22,intermediate,as-soon-as-possible,kebabCase,5477
22,intermediate,send-message,kebabCase,2410
22,intermediate,asSoonAsPossible,camelCase,3636
24,intermediate,move-south,kebabCase,2711
24,intermediate,send-message,kebabCase,2697
24,intermediate,start-process,kebabCase,1572
24,intermediate,calculateTotal,camelCase,2693
24,intermediate,moveSouth,camelCase,2782
24,intermediate,noPainNoGain,camelCase,2738
24,intermediate,refreshPage,camelCase,2480
24,intermediate,no-pain-no-gain,kebabCase,4668
24,intermediate,as-soon-as-possible,kebabCase,3041
24,intermediate,startProcess,camelCase,2169
24,intermediate,refresh-page,kebabCase,2696
24,intermediate,asSoonAsPossible,camelCase,3629
24,intermediate,sendMessage,camelCase,2472
24,intermediate,user-login-details,kebabCase,2887
24,intermediate,userLoginDetails,camelCase,2853
24,intermediate,calculate-total,kebabCase,2041
24,intermediate,appleCare,camelCase,3398
24,intermediate,apple-care,kebabCase,2833
24,intermediate,ciaoATutti,camelCase,9147
24,intermediate,ciao-a-tutti,kebabCase,5944
39,advanced,asSoonAsPossible,camelCase,3183
39,advanced,appleCare,camelCase,2856
39,advanced,send-message,kebabCase,2275
39,advanced,no-pain-no-gain,kebabCase,2200
39,advanced,noPainNoGain,camelCase,5255
39,advanced,as-soon-as-possible,kebabCase,3782
39,advanced,userLoginDetails,camelCase,3713
39,advanced,move-south,kebabCase,2669
39,advanced,user-login-details,kebabCase,2607
39,advanced,ciaoATutti,camelCase,5843
39,advanced,apple-care,kebabCase,2041
39,advanced,calculate-total,kebabCase,3340
39,advanced,sendMessage,camelCase,1971
39,advanced,calculateTotal,camelCase,2185
39,advanced,refreshPage,camelCase,2188
39,advanced,start-process,kebabCase,2252
39,advanced,refresh-page,kebabCase,2096
39,advanced,ciao-a-tutti,kebabCase,2006
39,advanced,moveSouth,camelCase,2593
39,advanced,startProcess,camelCase,2276
21,intermediate,asSoonAsPossible,camelCase,2893
21,intermediate,as-soon-as-possible,kebabCase,2999
21,intermediate,calculate-total,kebabCase,3156
21,intermediate,startProcess,camelCase,2229
21,intermediate,userLoginDetails,camelCase,4460
21,intermediate,no-pain-no-gain,kebabCase,3107
21,intermediate,apple-care,kebabCase,2983
21,intermediate,user-login-details,kebabCase,6781
21,intermediate,send-message,kebabCase,5333
21,intermediate,appleCare,camelCase,3548
21,intermediate,refreshPage,camelCase,2398
21,intermediate,calculateTotal,camelCase,2982
21,intermediate,sendMessage,camelCase,3658
21,intermediate,ciao-a-tutti,kebabCase,3353
21,intermediate,move-south,kebabCase,2405
21,intermediate,start-process,kebabCase,1943
21,intermediate,refresh-page,kebabCase,2899
21,intermediate,noPainNoGain,camelCase,3909
21,intermediate,moveSouth,camelCase,2384
21,intermediate,ciaoATutti,camelCase,5041
24,intermediate,appleCare,camelCase,5637
24,intermediate,move-south,kebabCase,3061
24,intermediate,user-login-details,kebabCase,2770
24,intermediate,apple-care,kebabCase,2701
24,intermediate,sendMessage,camelCase,2098
24,intermediate,userLoginDetails,camelCase,1767
24,intermediate,ciaoATutti,camelCase,1572
24,intermediate,send-message,kebabCase,1384
24,intermediate,ciao-a-tutti,kebabCase,2291
24,intermediate,calculateTotal,camelCase,1625
24,intermediate,calculate-total,kebabCase,3271
24,intermediate,moveSouth,camelCase,2070
24,intermediate,startProcess,camelCase,1289
24,intermediate,refresh-page,kebabCase,2185
24,intermediate,start-process,kebabCase,1467
24,intermediate,refreshPage,camelCase,1213
24,intermediate,as-soon-as-possible,kebabCase,1951
24,intermediate,asSoonAsPossible,camelCase,2713
24,intermediate,noPainNoGain,camelCase,3045
24,intermediate,no-pain-no-gain,kebabCase,2703
57,beginner,ciaoATutti,camelCase,17207
57,beginner,apple-care,kebabCase,13241
57,beginner,user-login-details,kebabCase,10023
57,beginner,noPainNoGain,camelCase,10081
57,beginner,userLoginDetails,camelCase,11347
57,beginner,appleCare,camelCase,6187
57,beginner,ciao-a-tutti,kebabCase,5271
57,beginner,calculateTotal,camelCase,6233
57,beginner,asSoonAsPossible,camelCase,8021
57,beginner,sendMessage,camelCase,7492
57,beginner,refresh-page,kebabCase,5815
57,beginner,no-pain-no-gain,kebabCase,10305
57,beginner,send-message,kebabCase,4943
57,beginner,refreshPage,camelCase,3869
57,beginner,startProcess,camelCase,5102
57,beginner,calculate-total,kebabCase,4734
57,beginner,start-process,kebabCase,5024
57,beginner,as-soon-as-possible,kebabCase,4484
57,beginner,moveSouth,camelCase,4850
57,beginner,move-south,kebabCase,5861
22,intermediate,ciao-a-tutti,kebabCase,1966
22,intermediate,userLoginDetails,camelCase,2247
22,intermediate,apple-care,kebabCase,2734
22,intermediate,appleCare,camelCase,1721
22,intermediate,ciaoATutti,camelCase,3611
22,intermediate,start-process,kebabCase,4190
22,intermediate,as-soon-as-possible,kebabCase,4709
22,intermediate,startProcess,camelCase,3311
22,intermediate,moveSouth,camelCase,2850
22,intermediate,send-message,kebabCase,3897
22,intermediate,user-login-details,kebabCase,1652
22,intermediate,calculateTotal,camelCase,4477
22,intermediate,move-south,kebabCase,3282
22,intermediate,sendMessage,camelCase,4236
22,intermediate,calculate-total,kebabCase,2211
22,intermediate,no-pain-no-gain,kebabCase,5277
22,intermediate,refresh-page,kebabCase,3724
22,intermediate,refreshPage,camelCase,3445
22,intermediate,noPainNoGain,camelCase,4475
22,intermediate,asSoonAsPossible,camelCase,4971
26,advanced,move-south,kebabCase,2152
26,advanced,apple-care,kebabCase,2372
26,advanced,send-message,kebabCase,1263
26,advanced,ciao-a-tutti,kebabCase,3558
26,advanced,noPainNoGain,camelCase,4758
26,advanced,sendMessage,camelCase,2059
26,advanced,start-process,kebabCase,2704
26,advanced,ciaoATutti,camelCase,2105
26,advanced,appleCare,camelCase,1681
26,advanced,userLoginDetails,camelCase,2646
26,advanced,calculateTotal,camelCase,2537
26,advanced,as-soon-as-possible,kebabCase,2196
26,advanced,user-login-details,kebabCase,1999
26,advanced,calculate-total,kebabCase,1982
26,advanced,asSoonAsPossible,camelCase,2598
26,advanced,no-pain-no-gain,kebabCase,2058
26,advanced,moveSouth,camelCase,1939
26,advanced,startProcess,camelCase,1459
26,advanced,refreshPage,camelCase,2718
26,advanced,refresh-page,kebabCase,1849
22,advanced,no-pain-no-gain,kebabCase,3626
22,advanced,noPainNoGain,camelCase,3953
22,advanced,asSoonAsPossible,camelCase,4177
22,advanced,refreshPage,camelCase,2720
22,advanced,calculateTotal,camelCase,2148
22,advanced,as-soon-as-possible,kebabCase,3297
22,advanced,refresh-page,kebabCase,2239
22,advanced,sendMessage,camelCase,3546
22,advanced,move-south,kebabCase,1802
22,advanced,start-process,kebabCase,1243
22,advanced,userLoginDetails,camelCase,3288
22,advanced,calculate-total,kebabCase,2179
22,advanced,send-message,kebabCase,1802
22,advanced,startProcess,camelCase,2495
22,advanced,moveSouth,camelCase,1538
22,advanced,user-login-details,kebabCase,2392
22,advanced,ciao-a-tutti,kebabCase,1857
22,advanced,appleCare,camelCase,3153
22,advanced,apple-care,kebabCase,1872
22,advanced,ciaoATutti,camelCase,1947
56,beginner,asSoonAsPossible,camelCase,3114
56,beginner,appleCare,camelCase,4929
56,beginner,ciao-a-tutti,kebabCase,2343
56,beginner,sendMessage,camelCase,4787
56,beginner,calculate-total,kebabCase,2779
56,beginner,move-south,kebabCase,8177
56,beginner,userLoginDetails,camelCase,4284
56,beginner,user-login-details,kebabCase,3171
56,beginner,apple-care,kebabCase,5204
56,beginner,ciaoATutti,camelCase,8197
56,beginner,moveSouth,camelCase,7751
56,beginner,start-process,kebabCase,5463
56,beginner,no-pain-no-gain,kebabCase,4658
56,beginner,calculateTotal,camelCase,3026
56,beginner,refresh-page,kebabCase,6765
56,beginner,send-message,kebabCase,2152
56,beginner,noPainNoGain,camelCase,3077
56,beginner,startProcess,camelCase,3805
56,beginner,refreshPage,camelCase,3550
56,beginner,as-soon-as-possible,kebabCase,6736
